,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
21,amazon-pay-api-sdk-dotnet,C#
22,amazon-pay-api-sdk-java,Java
23,amazon-pay-api-sdk-nodejs,JavaScript
24,amazon-pay-api-sdk-php,PHP
25,amazon-pay-sdk-csharp,C#
26,amazon-pay-sdk-java,Java
27,amazon-pay-sdk-php,PHP
28,amazon-pay-sdk-python,Python
29,amazon-pay-sdk-ruby,Ruby
30,.github,
31,ads-advanced-tools-docs,
32,ads-pao-amznjs-gtm-template,Smarty
33,alexa-coho,JavaScript
34,alexa-skills-kit-js,
35,amazon-ads-advertiser-audience-normalization-sdk-py,Python
36,amazon-advertising-api-php-sdk,PHP
37,amazon-codeguru-profiler-for-spark,Java
38,amazon-frustration-free-setup-certification-tool,Python
39,amazon-hub-counter-api-docs,CSS
40,amazon-hub-counter-api-samples,Java
41,amazon-hub-counter-sdk-java,Java
42,amazon-hub-support,PowerShell
43,amazon-instant-access-sdk-java,Java
44,amazon-instant-access-sdk-net,C#
45,amazon-instant-access-sdk-php,PHP
46,amazon-instant-access-sdk-ruby,Ruby
47,amazon-launcher-integration-cordova-plugin,JavaScript
48,amazon-marketing-stream-examples,Python
49,amazon-mcf-plugin-for-magento-1,PHP
50,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
51,amazon-pay-api-sdk-dotnet,C#
52,amazon-pay-api-sdk-java,Java
53,amazon-pay-api-sdk-nodejs,JavaScript
54,amazon-pay-api-sdk-php,PHP
55,amazon-pay-sdk-csharp,C#
56,amazon-pay-sdk-java,Java
57,amazon-pay-sdk-php,PHP
58,amazon-pay-sdk-python,Python
59,amazon-pay-sdk-ruby,Ruby
60,amazon-pay-sdk-samples,PHP
61,amazon-payment-files-tools,Kotlin
62,amazon-payments-magento-2-plugin,PHP
63,amazon-ray,Python
64,amazon-s3-gst-plugin,C
65,amazon-sidewalk-android-samples,Kotlin
66,amazon-sidewalk-ios-samples,Swift
67,amazon-succinct-doc-representation,Python
68,amazon-template-library,C++
69,amazon-weak-ner-needle,Python
70,amigitenough,Go
71,amzn-drivers,C
72,amzn-ec2-ena-utilities,Python
73,auction-gym,Jupyter Notebook
74,autotrail,Python
75,aws-apigateway-client-lib,
76,aws-sigv4-signing-samples,Java
77,awsssmchaosrunner,Kotlin
78,basis-point-sets,Python
79,buy-with-prime-automate-tenant-validation,JavaScript
80,buy-with-prime-oauth-handler-ec2,JavaScript
81,buy-with-prime-saas-integration,TypeScript
82,computer-vision-basics-in-microsoft-excel,
83,confident-sinkhorn-allocation,Jupyter Notebook
84,convolutional-handwriting-gan,Python
85,cosearcher,Python
86,credence-to-causal-estimation,Python
87,data-jack-knife,Java
88,debiased-balanced-interleaving,Jupyter Notebook
89,differential-privacy-bayesian-optimization,Python
90,distance-assistant,Python
91,drs-sample-android-app,Java
92,drs-sample-ios-app,Objective-C
93,emukit-playground,JavaScript
94,eslint-plugin-no-date-parsing,TypeScript
95,exoplayer-amazon-port,Java
96,explainable-text-vqa,
97,faithful-data2text-cycle-training,Python
98,fashion-attribute-disentanglement,Python
99,fire-app-builder,Java
100,firetv-sample-touch-app,Java
101,ftv-livetv-sample-tv-app,Java
102,gameon-sample-game-unity,C#
103,gameon-starter-kit-unity,C#
104,git-commit-template,JavaScript
105,glad,JavaScript
106,golang-gitoperations,Go
107,halo-third-party-sdk-for-java,Java
108,halo-third-party-sdk-for-node-js,TypeScript
109,halo-third-party-sdk-for-python,Python
110,hawktracer,C++
111,image-misspell-coling2020,
112,image-to-recipe-transformers,Python
113,ion-object-mapper-dotnet,C#
114,jekyll-doc-project,HTML
115,kqr,
116,login-with-amazon-oscommerce,PHP
117,login-with-amazon-wordpress,PHP
118,merlin-on-demand-callgraph,Java
119,metalearn-leap,Python
120,milan,Scala
121,multiconer-baseline,Python
122,multilingual-keyphrase-generation,Python
123,multimodal-affinities,Python
124,MXFusion,Python
125,nimbus-jose-jwt_aws-kms-extension,Java
126,openapi-swift-code-generate,Swift
127,orthogonal-additive-gaussian-processes,Python
128,oss-attribution-builder,TypeScript
129,oss-contribution-tracker,TypeScript
130,oss-dashboard,Ruby
131,pecos,Python
132,pretraining-or-self-training,Python
133,python-jose_aws-kms-extension,
134,rdma-core,C
135,refuel-open-domain-qa,Python
136,rete-thewebconf-2022,Python
137,rheoceros,Python
138,robotiq-gripper-interface,C++
139,sample-fire-tv-app-video-skill,Java
140,selling-partner-api-docs,HTML
141,selling-partner-api-models,Java
142,selling-partner-api-samples,Java
143,seqzero,Python
144,service-model-swift-code-generate,Swift
145,sketch-constructor,JavaScript
146,smoke-aws,Swift
147,smoke-aws-credentials,Swift
148,smoke-aws-generate,Swift
149,smoke-aws-support,Swift
150,smoke-dynamodb,Swift
151,smoke-framework,Swift
152,smoke-framework-application-generate,Swift
153,smoke-framework-examples,Swift
154,smoke-http,Swift
155,sparse-vqvae,Python
156,ss-aga-kgc,Python
157,sto-transformer,Python
158,style-dictionary,JavaScript
159,supply-chain-simulation-environment,Python
160,tiny-attribution-generator,TypeScript
161,trans-encoder,Python
