,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,apache-pyiceberg,Java
5,archaius,Java
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,codec_compare,Python
25,concurrency-limits,Java
26,conductor,Java
27,conductor-community,Java
28,conductor-docs,Python
29,conductor-ui,JavaScript
30,.github,
31,aegisthus,Java
32,af_tsa,C
33,aminator,Python
34,apache-pyiceberg,Java
35,archaius,Java
36,asgard,Groovy
37,astyanax,Java
38,atlas,Scala
39,atlas-docs,Python
40,aws-autoscaling,Shell
41,awsobjectmapper,Groovy
42,batch_request_api,Ruby
43,batch_request_client,Ruby
44,bbparse,C
45,bettertls,Go
46,blesk,JavaScript
47,bless,Python
48,blitz4j,Java
49,brutal,Python
50,cachemover,C++
51,CassJMeter,Java
52,chaosmonkey,Go
53,Cloud-Prize,
54,codec_compare,Python
55,concurrency-limits,Java
56,conductor,Java
57,conductor-community,Java
58,conductor-docs,Python
59,conductor-ui,JavaScript
60,consoleme,Python
61,curator,Java
62,denominator,Java
63,derand,Java
64,dgs,HTML
65,dgs-codegen,Kotlin
66,dgs-examples-java,Java
67,dgs-examples-java-2.7,Java
68,dgs-examples-java.latest,Java
69,dgs-examples-java16,Java
70,dgs-examples-kotlin,Kotlin
71,dgs-examples-kotlin-2.7,Kotlin
72,dgs-examples-webflux,Java
73,dgs-federation-example,Kotlin
74,dgs-framework,Kotlin
75,dgs-intellij-plugin,Kotlin
76,dial-reference,C
77,dispatch,Python
78,dispatch-docker,Shell
79,dyno,Java
80,dyno-queues,Java
81,dynomite,C
82,dynomite-manager,Java
83,eclipse-jifa,Java
84,eclipse-mat,
85,edda,Scala
86,edda-client,Java
87,element-server,JavaScript
88,ember-batch-request,JavaScript
89,ember-nf-graph,JavaScript
90,ember-nf-graph-examples,JavaScript
91,eslint-config-netflix,JavaScript
92,eslint-config-netflix-dea,JavaScript
93,eureka,Java
94,eureka-ui,JavaScript
95,EVCache,Java
96,fabricator,Java
97,falcor,JavaScript
98,falcor-datasource-chainer,JavaScript
99,falcor-express,JavaScript
100,falcor-express-demo,HTML
101,falcor-hapi,JavaScript
102,falcor-hapi-demo,HTML
103,falcor-http-datasource,JavaScript
104,falcor-json-graph,JavaScript
105,falcor-observable,JavaScript
106,falcor-path-syntax,JavaScript
107,falcor-path-utils,JavaScript
108,falcor-restify,JavaScript
109,falcor-restify-demo,HTML
110,falcor-router,JavaScript
111,falcor-router-demo,JavaScript
112,fast_jsonapi,Ruby
113,Fenzo,Java
114,Fido,C#
115,flamescope,Python
116,frigga,Java
117,genie,Java
118,glisten,Groovy
119,go-env,Go
120,go-expect,Go
121,go-iomux,Go
122,governator,Java
123,gradle-template,Java
124,hal-9001,Go
125,hollow,Java
126,hollow-reference-implementation,Java
127,hubcommander,Python
128,Hystrix,Java
129,iceberg,Java
130,iep,Java
131,iep-shadow,
132,image_compression_comparison,Python
133,inviso,JavaScript
134,karyon,Java
135,lemur,Python
136,lemur-docker,Python
137,Lipstick,JavaScript
138,mantis,Java
139,mantis-api,Java
140,mantis-cli,JavaScript
141,mantis-connectors,Java
142,mantis-control-plane,Java
143,mantis-examples,Java
144,mantis-gradle-plugin,Groovy
145,mantis-helm,
146,mantis-mql,Clojure
147,mantis-rxcontrol,Java
148,mantis-rxnetty,
149,mantis-source-jobs,Java
150,mantis-ui,TypeScript
151,matchcut,Jupyter Notebook
152,metacat,Java
153,metaflow,Python
154,metaflow-docs,JavaScript
155,metaflow-extensions-template,Python
156,metaflow-nflx-extensions,Python
157,metaflow-service,Python
158,metaflow-tools,HCL
159,metaflow-ui,TypeScript
160,metrics-client-go,Go
161,msl,C++
162,ndbench,HTML
163,nerror,JavaScript
164,netflix-commons,Java
165,netflix-graph,Java
166,netflix.github.com,HTML
167,netflixoss-npm-build-infrastructure,
168,nf-data-explorer,TypeScript
169,nflx-geofeed,
170,nflxprofile,Python
171,NfWebCrypto,C++
172,Nicobar,Java
173,ocelli,Java
174,octodns,
175,octodns-ns1,Python
176,octodns-ultra,Python
177,osstracker,Scala
178,p2plab,Go
179,photon,Java
180,PigPen,Clojure
181,pollyjs,JavaScript
182,polynote,HTML
183,Prana,Java
184,Priam,Java
185,probnik,TypeScript
186,pygenie,Python
187,pytheas,JavaScript
188,q,Java
189,Raigad,Java
190,ReactiveLab,Java
191,reactivesocket-examples,Java
192,read_bbrlog,C
193,recipes-rss,Java
194,rend,Go
195,rend-http,Go
196,rend-lmdb,Go
197,repokid,Python
198,restful-jsonapi,Ruby
199,ribbon,Java
200,runtime-health,Java
201,rx-aws-java-sdk,Java
202,s3mper,Java
203,security-bulletins,
204,security_monkey,Python
205,servo,Java
206,sherlock,R
207,signal-wrapper,Go
208,SimianArmy,Java
209,sleepy-puppy-docker,Dockerfile
210,spark,Scala
211,spectator,Java
212,spectator-cpp,C++
213,spectator-go,Go
214,spectator-js,JavaScript
215,spectator-py,Python
216,spectator-rb,Ruby
217,staash,Java
218,sureal,Python
219,suro,Java
220,Surus,Java
221,taskintrospection,C
222,tcplog_dumper,C
223,techreports,
224,titus,
225,titus-api-definitions,Makefile
226,titus-control-plane,Java
227,titus-controllers-api,Go
228,titus-executor,Go
229,titus-kube-common,Go
230,titus-resource-pool,Go
231,tslint-config-netflix,JavaScript
232,Turbine,Java
233,unleash,JavaScript
234,user2020-metaflow-tutorial,R
235,vector,JavaScript
236,vectorflow,D
237,virtual-kubelet,
238,vizceral,JavaScript
239,vizceral-component,JavaScript
240,vizceral-example,JavaScript
241,vizceral-react,JavaScript
242,vmaf,Python
243,vmaf_resource,
244,vp9-dash,
245,webpack-parse-query,JavaScript
246,weep,Go
247,Workflowable,Ruby
248,x-element,JavaScript
249,x-test,JavaScript
250,yetch,JavaScript
251,zeno,Java
252,zuul,Java
